ID,LABEL,has_obo_namespace,SubClass Of,definition,hasDbXref,comment,hasExactSynonym,has_narrow_synonym,hasRelatedSynonym,created_by,creation_date,in_subset,has_alternative_id
UO:0000056,molar volume unit,unit.ontology,obo:uo#is_unit_of some PATO:0001680|volume unit,A unit which is a standard measure of the volume of a homogeneous substance containing 6.02 x 1023 atoms or molecules.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000057,momentum unit,unit.ontology,obo:uo#is_unit_of some PATO:0001022|obo:uo#is_unit_of some PATO:0001023|unit,A unit which is a standard measure of the quantity of motion measured by the product of mass and velocity.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000058,rotational frequency unit,unit.ontology,frequency unit,A unit which is a standard measure of the number of rotations in a given time.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000059,specific volume unit,unit.ontology,volume unit,A unit which is a standard measure of the volume of a given mass of substance (the reciprocal of density).,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000060,speed/velocity unit,unit.ontology,obo:uo#is_unit_of some PATO:0000008|unit,"A unit which is a standard measure of the rate of movement. Speed is measured in the same physical units of measurement as velocity, but does not contain the element of direction that velocity has. Speed is thus the magnitude component of velocity.",,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000061,unit of molarity,unit.ontology,concentration unit,A concentration unit which is a standard measure of the number of moles of a given substance per liter of solution.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000062,molar,unit.ontology,unit of molarity,A unit of concentration which expresses a concentration of 1 mole of solute per liter of solution (mol/L).,,,M,,,george gkoutos,,obo:uo#unit_slim,
UO:0000063,millimolar,unit.ontology,unit of molarity,A unit of molarity which is equal to one thousandth of a molar or 10^[-3] M.,,,mM,,,george gkoutos,,obo:uo#unit_slim,
UO:0000064,micromolar,unit.ontology,unit of molarity,A unit of molarity which is equal to one millionth of a molar or 10^[-6] M.,,,uM,,,george gkoutos,,obo:uo#unit_slim,
UO:0000065,nanomolar,unit.ontology,unit of molarity,A unit of molarity which is equal to one thousandth of one millionth of a molar or 10^[-9] M.,,,nM,,,george gkoutos,,obo:uo#unit_slim,
UO:0000066,picomolar,unit.ontology,unit of molarity,A unit of molarity which is equal to 10^[-12] M.,,,pM,,,george gkoutos,,obo:uo#unit_slim,
UO:0000067,unit of molality,unit.ontology,concentration unit,A concentration unit which is a standard measure of the number of moles of a given substance per kilogram of solvent.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000068,molal,unit.ontology,unit of molality,A unit of concentration which expresses a concentration of a solution of 1 mole per kilogram of solvent (mol/kg).,,,m,,,george gkoutos,,obo:uo#unit_slim,
UO:0000069,millimolal,unit.ontology,unit of molality,A molality unit which is equal to one thousandth of a molal or 10^[-3] m.,,,mm,,,george gkoutos,,obo:uo#unit_slim,
UO:0000070,micromolal,unit.ontology,unit of molality,A molality unit which is equal to one millionth of a molal or 10^[-6] m.,,,um,,,george gkoutos,,obo:uo#unit_slim,
UO:0000071,nanomolal,unit.ontology,unit of molality,A molality unit which is equal to one thousandth of one millionth of a molal or 10^[-9] m.,,,nm,,,george gkoutos,,obo:uo#unit_slim,
UO:0000072,picomolal,unit.ontology,unit of molality,A molality unit which is equal to 10^[-12] m.,,,pm,,,george gkoutos,,obo:uo#unit_slim,
UO:0000073,femtomolar,unit.ontology,unit of molarity,A unit of molarity which is equal to 10^[-15] M.,,,fM,,,george gkoutos,,obo:uo#unit_slim,
UO:0000074,unit of normality,unit.ontology,concentration unit,A unit of concentration which highlights the chemical nature of salts.,,,,,,george gkoutos,,obo:uo#unit_group_slim,
UO:0000075,normal,unit.ontology,unit of normality,A unit of concentration which is one gram equivalent of a solute per liter of solution. A gram equivalent weight or equivalent is a measure of the reactive capacity of a given molecule.,,,N,,,george gkoutos,,obo:uo#unit_slim,
UO:0000076,mole fraction,unit.ontology,concentration unit|fraction,A concentration unit which denotes the number of moles of solute as a proportion of the total number of moles in a solution.,,,(x)|chi,,,george gkoutos,,obo:uo#unit_slim,
UO:0000077,meter per second per second,unit.ontology,acceleration unit,An acceleration unit which is equal to the acceleration an object changing its velocity by 1meter/s over a time period that equals one second.,,,m/s^[2]|metre per second per second,,,george gkoutos,,obo:uo#unit_slim,
UO:0000078,radian per second per second,unit.ontology,angular acceleration unit,An angular unit acceleration which is equal to the angular acceleration of an object changing its angular velocity by 1rad/s over a time period that equals one second.,,,alpha|rad/s^[2],,,george gkoutos,,obo:uo#unit_slim,
UO:0000079,radian per second,unit.ontology,angular velocity unit,An angular unit velocity which is equal to about 9.54930 rpm (revolutions per minute).,,,rad/s,,,george gkoutos,,obo:uo#unit_slim,
UO:0000080,square meter,unit.ontology,area unit,An area unit which is equal to an area enclosed by a square with sides each 1 meter long.,,,m^[2],,square metre,george gkoutos,,obo:uo#unit_slim,
