ID,LABEL,comment,symbol,alternative label,alternative symbol,Type,longcomment
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularSize,angular size,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularSpeed,angular speed,,ω,angular frequency|hoekfrequentie,Ω,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularSpeed,angular speed,,ω,angular frequency|hoekfrequentie,Ω,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularSpeedUnit,angular speed unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularVelocity,angular velocity,,ω,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AngularVelocity,angular velocity,,ω,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AnnualAberration,annual aberration,"The component of the stellar abberation resulting from the motion of the Earth about the Sun. The abberation is the apparent angular displacement of the observed position of a celestial object from its geometric position, caused by the finite velocity of light in combination with the motions of the observer and of the observed object.",,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AnnualAberration,annual aberration,"The component of the stellar abberation resulting from the motion of the Earth about the Sun. The abberation is the apparent angular displacement of the observed position of a celestial object from its geometric position, caused by the finite velocity of light in combination with the motions of the observer and of the observed object.",,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/ApparentDiameter,apparent diameter,"The angle that the actual diameter of an object makes in the sky; also known as angular size. Most often small, so units are mostly arcminutes, arcseconds, or even milli- or microarcseconds.",,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/ApparentDiameter,apparent diameter,"The angle that the actual diameter of an object makes in the sky; also known as angular size. Most often small, so units are mostly arcminutes, arcseconds, or even milli- or microarcseconds.",,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/ApparentDistanceModulus,apparent distance modulus,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/ApparentDistanceModulus,apparent distance modulus,,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/ApparentMagnitude,apparent magnitude,Logarithmic measure of the apparent brightness of an object. Units usually not indicated(http://en.wikipedia.org/wiki/Magnitude_(astronomy).,m,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/ApparentMagnitude,apparent magnitude,Logarithmic measure of the apparent brightness of an object. Units usually not indicated(http://en.wikipedia.org/wiki/Magnitude_(astronomy).,m,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/ApplicationArea,application area,"An application area groups quantities and units of measure for application areas such as scientific disciplines (e.g., thermodynamics, mechanics).",,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/Area,area,"Area expresses the two-dimensional size of a defined part of a surface, typically a region bounded by a closed curve. It is a derived quantity in the International System of Units. Area is length squared.",A,oppervlak,S,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/Area,area,"Area expresses the two-dimensional size of a defined part of a surface, typically a region bounded by a closed curve. It is a derived quantity in the International System of Units. Area is length squared.",A,oppervlak,S,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AreaDensity,area density,,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AreaDensity,area density,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AreaDensityRate,area density rate,,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AreaDensityRate,area density rate,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AreaDensityRateUnit,area density rate unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AreaDensityUnit,area density unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AreaFraction,area fraction,,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AreaFraction,area fraction,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AreaFractionUnit,area fraction unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AreaUnit,area unit,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AtomicMass,atomic mass,,m_a,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/AtomicMass,atomic mass,,m_a,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AustralianDollar,Australian dollar,,,,,singular unit|unit,
http://www.ontology-of-units-of-measure.org/resource/om-2/AverageSpeed,average speed,,u,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/AverageSpeed,average speed,,u,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/Azimuth,azimuth,The angular distance measured clockwise along the horizon from a specified reference point (usually north) to the intersection with the great circle drawn from the zenith through a body on the celestial sphere.,A,,Az,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/Azimuth,azimuth,The angular distance measured clockwise along the horizon from a specified reference point (usually north) to the intersection with the great circle drawn from the zenith through a body on the celestial sphere.,A,,Az,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BMagnitude,B magnitude,Johnson B magnitude. The Johnson B band is a standard filter in the blue area. The central wavelength is 440nm and the bandwidth is 100nm.  The filter to be used is the Corning 5030 filter plus the Schott GG13 filter.,B,,m_B,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BMagnitude,B magnitude,Johnson B magnitude. The Johnson B band is a standard filter in the blue area. The central wavelength is 440nm and the bandwidth is 100nm.  The filter to be used is the Corning 5030 filter plus the Schott GG13 filter.,B,,m_B,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BMagnitudeAtMaximumBrightness,B magnitude at maximum brightness,Johnson B magnitude at maximum brightness (i.e. for a variable star). The Johnson B band is a standard filter in the blue area. The central wavelength is 440nm and the bandwidth is 100nm.  The filter to be used is the Corning 5030 filter plus the Schott GG13 filter.,B_max,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BMagnitudeAtMaximumBrightness,B magnitude at maximum brightness,Johnson B magnitude at maximum brightness (i.e. for a variable star). The Johnson B band is a standard filter in the blue area. The central wavelength is 440nm and the bandwidth is 100nm.  The filter to be used is the Corning 5030 filter plus the Schott GG13 filter.,B_max,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BMagnitudeAtMinimumBrightness,B magnitude at minimum brightness,Johnson B magnitude at minimum brightness (i.e. for a variable star). The Johnson B band is a standard filter in the blue area. The central wavelength is 440nm and the bandwidth is 100nm.  The filter to be used is the Corning 5030 filter plus the Schott GG13 filter.,B_min,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BMagnitudeAtMinimumBrightness,B magnitude at minimum brightness,Johnson B magnitude at minimum brightness (i.e. for a variable star). The Johnson B band is a standard filter in the blue area. The central wavelength is 440nm and the bandwidth is 100nm.  The filter to be used is the Corning 5030 filter plus the Schott GG13 filter.,B_min,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BetaNarrowMagnitude,β_narrow magnitude,β_narrow  Magnitude in the Strömgren-Crawford photometric system with a peak wavelength at 485.8 nm and a peak-half-width of 2.9 nm.,β_n,,β_narrow,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BetaNarrowMagnitude,β_narrow magnitude,β_narrow  Magnitude in the Strömgren-Crawford photometric system with a peak wavelength at 485.8 nm and a peak-half-width of 2.9 nm.,β_n,,β_narrow,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BetaWideMagnitude,β_wide magnitude,β_wide  Magnitude in the Strömgren-Crawford photometric system with a peak wavelength at 485 nm and a peak-half-width of 12.9 nm.,β_w,,β_wide,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BetaWideMagnitude,β_wide magnitude,β_wide  Magnitude in the Strömgren-Crawford photometric system with a peak wavelength at 485 nm and a peak-half-width of 12.9 nm.,β_w,,β_wide,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BinaryPrefix,binary prefix,IEC prefix,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BodyLabelMass,body label mass,,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BodyLabelMass,body label mass,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BodyMass,body mass,,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BodyMass,body mass,,,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BolometricCorrection,bolometric correction,The visual magnitude of an object minus its bolometric magnitude.,BC,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BolometricCorrection,bolometric correction,The visual magnitude of an object minus its bolometric magnitude.,BC,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BolometricMagnitude,bolometric magnitude,"The magnitude of a star measured across all wavelengths, so that it takes into account the total amount of energy radiated. If a star is a strong infrared or ultraviolet emitter, its bolometric magnitude  will differ greatly from its visual magnitude.",m_bol,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BolometricMagnitude,bolometric magnitude,"The magnitude of a star measured across all wavelengths, so that it takes into account the total amount of energy radiated. If a star is a strong infrared or ultraviolet emitter, its bolometric magnitude  will differ greatly from its visual magnitude.",m_bol,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BondAlbedo,bond albedo,Is the fraction of the total incident solar radiation - the radiation at all wavelengths - that is reflected or scattered by an object in all directions.,,spherical albedo,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BondAlbedo,bond albedo,Is the fraction of the total incident solar radiation - the radiation at all wavelengths - that is reflected or scattered by an object in all directions.,,spherical albedo,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BrazilianReal,Brazilian real,,,,,singular unit|unit,
http://www.ontology-of-units-of-measure.org/resource/om-2/Breadth,breadth,,b,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/Breadth,breadth,,b,,,Class,
http://www.ontology-of-units-of-measure.org/resource/om-2/BrightnessTemperature,brightness temperature,The temperature that a blackbody would need to have in order to emit radiation of the observed intensity at a given wavelength (mostly used in radio astronomy).,,,,Named individual,
http://www.ontology-of-units-of-measure.org/resource/om-2/BrightnessTemperature,brightness temperature,The temperature that a blackbody would need to have in order to emit radiation of the observed intensity at a given wavelength (mostly used in radio astronomy).,,,,Class,
