ID,LABEL,Type,ucumCode,description,expression,isDefinedBy
http://qudt.org/vocab/dimensionvector/A0E2L-2I0M-1H0T3D0,A0E2L-2I0M-1H0T3D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E2L-2I0M-1H0T4D0,A0E2L-2I0M-1H0T4D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T3D0,A0E2L-3I0M-1H0T3D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E2L-3I0M-1H0T4D0,A0E2L-3I0M-1H0T4D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E2L-4I0M-1H0T3D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E2L0I0M-1H0T4D0,A0E2L0I0M-1H0T4D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E2L2I0M-1H0T2D0,A0E2L2I0M-1H0T2D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E3L-1I0M-2H0T7D0,A0E3L-1I0M-2H0T7D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A0E4L-2I0M-3H0T10D0,A0E4L-2I0M-3H0T10D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T-1D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A1E0L-2I0M0H0T0D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A1E0L-3I0M-1H0T2D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T-1D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0,A1E0L-3I0M0H0T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T-1D0,,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A1E0L0I0M-1H0T0D0,A1E0L0I0M-1H0T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T-1D0,A1E0L0I0M0H0T-1D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T0D0,A1E0L0I0M0H0T0D0,Named individual,,,,
http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H1T0D0,A1E0L0I0M0H1T0D0,Named individual,,,,
http://qudt.org/vocab/quantitykind/AbsoluteActivity,Absolute Activity,Named individual,,,,
http://qudt.org/vocab/quantitykind/AbsorbedDose,Absorbed Dose,Named individual,,,,
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,Absorbed Dose Rate,Named individual,,,,
http://qudt.org/vocab/quantitykind/Absorptance,Absorptance,Named individual,,,,
http://qudt.org/vocab/quantitykind/Acceleration,Acceleration,Named individual,,,,
http://qudt.org/vocab/quantitykind/AcousticImpedance,Acoustic Impediance,Named individual,,,,
http://qudt.org/vocab/quantitykind/Action,Action,Named individual,,,,
http://qudt.org/vocab/quantitykind/Activity,Activity,Named individual,,,,
http://qudt.org/vocab/quantitykind/ActivityCoefficient,Activity Coefficient,Named individual,,,,
http://qudt.org/vocab/quantitykind/ActivityConcentration,Activity Concentration,Named individual,,,,
http://qudt.org/vocab/quantitykind/Admittance,Admittance,Named individual,,,,
