UO ID,UO label
UO:0000267,electric field strength unit
UO:0000269,absorbance unit
UO:0000271,microliters per minute
UO:0000272,millimetres of mercury
UO:0000274,microgram per milliliter
UO:0000275,nanogram per milliliter
UO:0000276,amount per container
UO:0000277,ug/disk
UO:0000278,nmole/disk
UO:0000279,milliunits per milliliter
UO:0000280,rate unit
UO:0000281,count per nanomolar second
UO:0000282,count per molar second
UO:0000284,count per nanomolar
UO:0000285,count per molar
UO:0000307,dose unit
UO:0000309,milligram per square meter
UO:0000310,dosage unit
UO:0000311,milligram per kilogram per day
UO:0000312,relative light unit
UO:0000313,relative luminescence unit
UO:0000314,relative fluorescence unit
UO:0000315,turbidity unit
UO:0000316,cells per microliter
UO:0000317,cells per well
UO:0000318,formazin nephelometric unit
UO:0000319,radioactivity concentration
UO:0000320,curie per liter
UO:0000321,microcurie per milliliter
UO:0000322,fold dilution
UO:0000323,ton per hectare
UO:0000324,square angstrom
UO:0000326,centiMorgan
UO:0000327,centiRay
UO:0000328,kilobasepair
UO:0000329,megabasepair
UO:0000330,gigabasepair
UO:0010004,micromole per kilogram
UO:0010005,millimeters per day
UO:0010007,volt-second per square centimeter
UO:0010011,inch
UO:0010013,foot
UO:0010014,yard
UO:0010016,furlong
UO:0010017,mile
UO:0010018,league
UO:0010019,maritime length unit
UO:0010020,fathom
UO:0010021,cable
UO:0010022,nautical mile
UO:0010023,perch
UO:0010024,rood
UO:0010025,acre
UO:0010026,fluid ounce
UO:0010027,gill
UO:0010028,pint
UO:0010029,quart
UO:0010032,drachm
UO:0010033,ounce
UO:0010034,pound
UO:0010035,stone
UO:0010036,quarter
UO:0010037,hundredweight
UO:0010038,ton
UO:0010040,teaspoon
UO:0010041,united states customary teaspoon
UO:0010042,tablespoon
UO:0010043,australian metric tablespoon
UO:0010044,united states customary tablespoon
UO:0010045,metric cup
UO:0010046,united states customary cup
UO:0010047,united states fda cup
UO:0010050,nanogram per microliter
UO:0010051,large calorie
UO:0010052,pounds per square inch
UO:0010053,micrograms per wheaton bottle
UO:1000008,meter based unit
UO:1000010,second based unit
UO:1000011,ampere based unit
UO:1000012,kelvin based unit
UO:1000013,mole based unit
UO:1000014,candela based unit
UO:1000019,angstrom based unit
UO:1000021,gram based unit
UO:1000027,degree Celsius based unit
UO:1000031,minute based unit
UO:1000032,hour based unit
UO:1000033,day based unit
UO:1000034,week based unit
UO:1000035,month based unit
UO:1000036,year based unit
UO:1000062,molar based unit
UO:1000068,molal based unit
UO:1000075,normal based unit
UO:1000076,mole fraction based unit
UO:1000077,meter per second per second based unit
UO:1000078,radian per second per second based unit
