UO ID,UO label,OM label,OM ID
UO:0000270,volumetric flow rate unit,volumetric flow rate unit,http://www.ontology-of-units-of-measure.org/resource/om-2/VolumetricFlowRateUnit
UO:0000273,milligram per liter,milligram per litre,http://www.ontology-of-units-of-measure.org/resource/om-2/milligramPerLitre
UO:0000283,kilogram per hectare,kilogram per hectare,http://www.ontology-of-units-of-measure.org/resource/om-2/kilogramPerHectare
UO:0000286,yotta,yotta,http://www.ontology-of-units-of-measure.org/resource/om-2/yotta
UO:0000287,hecto,hecto,http://www.ontology-of-units-of-measure.org/resource/om-2/hecto
UO:0000288,zetta,zetta,http://www.ontology-of-units-of-measure.org/resource/om-2/zetta
UO:0000289,exa,exa,http://www.ontology-of-units-of-measure.org/resource/om-2/exa
UO:0000290,peta,peta,http://www.ontology-of-units-of-measure.org/resource/om-2/peta
UO:0000291,tera,tera,http://www.ontology-of-units-of-measure.org/resource/om-2/tera
UO:0000292,giga,giga,http://www.ontology-of-units-of-measure.org/resource/om-2/giga
UO:0000293,mega,mega,http://www.ontology-of-units-of-measure.org/resource/om-2/mega
UO:0000294,kilo,kilo,http://www.ontology-of-units-of-measure.org/resource/om-2/kilo
UO:0000295,deca,deca,http://www.ontology-of-units-of-measure.org/resource/om-2/deca
UO:0000296,deci,deci,http://www.ontology-of-units-of-measure.org/resource/om-2/deci
UO:0000297,milli,milli,http://www.ontology-of-units-of-measure.org/resource/om-2/milli
UO:0000298,centi,centi,http://www.ontology-of-units-of-measure.org/resource/om-2/centi
UO:0000299,micro,micro,http://www.ontology-of-units-of-measure.org/resource/om-2/micro
UO:0000300,nano,nano,http://www.ontology-of-units-of-measure.org/resource/om-2/nano
UO:0000301,microgram per liter,microgram per litre,http://www.ontology-of-units-of-measure.org/resource/om-2/microgramPerLitre
UO:0000302,pico,pico,http://www.ontology-of-units-of-measure.org/resource/om-2/pico
UO:0000303,femto,femto,http://www.ontology-of-units-of-measure.org/resource/om-2/femto
UO:0000304,atto,atto,http://www.ontology-of-units-of-measure.org/resource/om-2/atto
UO:0000305,zepto,zepto,http://www.ontology-of-units-of-measure.org/resource/om-2/zepto
UO:0000306,yocto,yocto,http://www.ontology-of-units-of-measure.org/resource/om-2/yocto
UO:0000308,milligram per kilogram,milligram per kilogram,http://www.ontology-of-units-of-measure.org/resource/om-2/milligramPerKilogram
UO:0000325,megaHertz,megahertz,http://www.ontology-of-units-of-measure.org/resource/om-2/megahertz
UO:0000331,gigabyte,gigabyte,http://www.ontology-of-units-of-measure.org/resource/om-2/gigabyte
UO:0000332,terabyte,terabyte,http://www.ontology-of-units-of-measure.org/resource/om-2/terabyte
UO:0010001,square micrometer,square micrometre,http://www.ontology-of-units-of-measure.org/resource/om-2/squareMicrometre
UO:0010002,millisiemens,millisiemens,http://www.ontology-of-units-of-measure.org/resource/om-2/millisiemens
UO:0010003,micromole per litre,micromole per litre,http://www.ontology-of-units-of-measure.org/resource/om-2/micromolePerLitre
UO:0010006,ratio,ratio,http://www.ontology-of-units-of-measure.org/resource/om-2/Ratio
UO:0010006,ratio,ratio,http://www.ontology-of-units-of-measure.org/resource/om-2/Ratio
UO:0010008,kilometer per hour,kilometre per hour,http://www.ontology-of-units-of-measure.org/resource/om-2/kilometrePerHour
UO:0010009,milli,milli,http://www.ontology-of-units-of-measure.org/resource/om-2/milli
UO:0010010,hectare,hectare,http://www.ontology-of-units-of-measure.org/resource/om-2/hectare
UO:0010012,thou,mil (length),http://www.ontology-of-units-of-measure.org/resource/om-2/mil-Length
UO:0010015,chain,chain,http://www.ontology-of-units-of-measure.org/resource/om-2/chain
UO:0010030,gallon,gal,http://www.ontology-of-units-of-measure.org/resource/om-2/gal
UO:0010031,grain,grain,http://www.ontology-of-units-of-measure.org/resource/om-2/grain
UO:0010039,slug,slug,http://www.ontology-of-units-of-measure.org/resource/om-2/slug
UO:0010048,micromole,micromole,http://www.ontology-of-units-of-measure.org/resource/om-2/micromole
UO:0010049,gram per square meter,gram per square metre,http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerSquareMetre
UO:0010054,picoampere,picoampere,http://www.ontology-of-units-of-measure.org/resource/om-2/picoampere
