ontology ID,label,Type,has_obo_namespace,SubClass Of,has_prefix,is_unit_of,definition,definition cross reference,comment,exact synonym,narrow synonym,related synonym,created_by,creation date,in_subset,has_alternative_id
UO:0000174,kilogram per liter,class,unit.ontology,mass density unit,,,A mass unit density which is equal to mass of an object in kilograms divided by the volume in liters.,UOC:GVG,,kg/L|kilogram per litre,,,george gkoutos,,unit_slim,
UO:0000175,gram per liter,class,unit.ontology,mass density unit,,,A mass unit density which is equal to mass of an object in grams divided by the volume in liters.,UOC:GVG,,g/L|gram per litre,,,george gkoutos,,unit_slim,
UO:0000176,milligram per milliliter,class,unit.ontology,mass density unit,,,A mass unit density which is equal to mass of an object in milligrams divided by the volume in milliliters.,UOC:GVG,,mg/ml|milligram per millilitre,,,george gkoutos,,unit_slim,
UO:0000177,unit per volume unit,class,unit.ontology,concentration unit,,,"A concentration unit which is a standard measure of the number of units, as an agreed arbitrary amount, of a given substance per a specific volume of solution.",Webmd:Webmd,,,,,george gkoutos,,unit_group_slim,
UO:0000178,unit per milliliter,class,unit.ontology,unit per volume unit,,,A unit per milliliter unit which is equal to one unit of an agreed arbitrary amount per one milliliter.,Webmd:Webmd,,U/ml|unit per millilitre,,,george gkoutos,,unit_slim,
UO:0000179,unit per liter,class,unit.ontology,unit per volume unit,,,A unit per milliliter unit which is equal to one unit of an agreed arbitrary amount per one liter.,UOC:GVG,,U/l|unit per litre,,,george gkoutos,,unit_slim,
UO:0000180,mass per unit volume,class,unit.ontology,concentration unit,,,A concentration unit which is a standard measure of the mass of a substance in a given volume (density).,Wikipedia:Wikipedia,"For units and further information look under the mass density unit. For a sample of a specific pure elemental substance, the concentration is directly proportional to the density. However, concentration is not proportional to density in general.",,,,george gkoutos,,unit_slim,
UO:0000181,enzyme unit,class,unit.ontology,catalytic activity unit,,,A catalytic unit activity which is equal to the amount of the enzyme that catalyzes the conversion of 1 micro mole of substrate per minute.,Wikipedia:Wikipedia,,U,,,george gkoutos,,unit_slim,
UO:0000182,density unit,class,unit.ontology,unit,,PATO:0001019,A unit which is a standard measure of the influence exerted by some mass.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
UO:0000183,linear density unit,class,unit.ontology,density unit,,PATO:0001352,A density unit which is a standard measure of the mass exerting an influence on a one-dimensional object.,Wikipedia:Wikipedia,,,,,george gkoutos,,unit_group_slim,
