ID,LABEL,Type,SubClass Of,Equivalent Class,comment,hasExactSynonym,hasRelatedSynonym
UO:0000020,picometer,Named individual,,,"""A length unit which is equal to 10^[-12] m."" [NIST:NIST]",picometre|pm,
UO:0000020,picometer,Class,length unit,'meter based unit' and (obo:has_prefix some pico)|{picometer},"""A length unit which is equal to 10^[-12] m."" [NIST:NIST]",picometre|pm,
UO:0000021,gram,Named individual,,,"""A mass unit which is equal to one thousandth of a kilogram or 10^[-3] kg."" [NIST:NIST]",g,
UO:0000021,gram,Class,gram based unit|mass unit,{gram},"""A mass unit which is equal to one thousandth of a kilogram or 10^[-3] kg."" [NIST:NIST]",g,
UO:0000022,milligram,Named individual,,,"""A mass unit which is equal to one thousandth of a gram or 10^[-3] g."" [UOC:GVG]",mg,
UO:0000022,milligram,Class,mass unit,'gram based unit' and (obo:has_prefix some milli)|{milligram},"""A mass unit which is equal to one thousandth of a gram or 10^[-3] g."" [UOC:GVG]",mg,
UO:0000023,microgram,Named individual,,,"""A mass unit which is equal to one millionth of a gram or 10^[-6] g."" [UOC:GVG]",ug,
UO:0000023,microgram,Class,mass unit,'gram based unit' and (obo:has_prefix some micro)|{microgram},"""A mass unit which is equal to one millionth of a gram or 10^[-6] g."" [UOC:GVG]",ug,
UO:0000024,nanogram,Named individual,,,"""A mass unit which is equal to one thousandth of one millionth of a gram or 10^[-9] g."" [UOC:GVG]",ng,
UO:0000024,nanogram,Class,mass unit,'gram based unit' and (obo:has_prefix some nano)|{nanogram},"""A mass unit which is equal to one thousandth of one millionth of a gram or 10^[-9] g."" [UOC:GVG]",ng,
UO:0000025,picogram,Named individual,,,"""A mass unit which is equal to 10^[-12] g."" [UOC:GVG]",pg,
UO:0000025,picogram,Class,mass unit,'gram based unit' and (obo:has_prefix some pico)|{picogram},"""A mass unit which is equal to 10^[-12] g."" [UOC:GVG]",pg,
UO:0000026,femtogram,Named individual,,,"""A mass unit which is equal to 10^[-15] g."" [NIST:NIST]",fg,
UO:0000026,femtogram,Class,mass unit,'gram based unit' and (obo:has_prefix some femto)|{femtogram},"""A mass unit which is equal to 10^[-15] g."" [NIST:NIST]",fg,
UO:0000027,degree Celsius,Named individual,,,"""A temperature unit which is equal to one kelvin degree. However, they have their zeros at different points. The centigrade scale has its zero at 273.15 K."" [NIST:NIST]",C,
UO:0000027,degree Celsius,Class,degree Celsius based unit|temperature unit,{'degree Celsius'},"""A temperature unit which is equal to one kelvin degree. However, they have their zeros at different points. The centigrade scale has its zero at 273.15 K."" [NIST:NIST]",C,
