ID,LABEL,Type,SubClass Of,is_unit_of,Equivalent Class,comment,hasExactSynonym,hasRelatedSynonym,,,,,,,,,,,,,,,,,,
ID,A rdfs:label,TYPE,SC % SPLIT=|,SC (is_unit_of only %) SPLIT=|,EC % SPLIT=|,A rdfs:comment,A oboInOwl:hasExactSynonym SPLIT=|,A oboInOwl:hasRelatedSynonym SPLIT=|,,,,,,,,,,,,,,,,,,
UO:0000017,micrometer,class,length unit,,('meter based unit' and ('has prefix' some micro))|{micrometer},"""A length unit which is equal to one millionth of a meter or 10^[-6] m."" [NIST:NIST]",micrometre|micron|um,,,,,,,,,,,,,,,,,,,
UO:0000018,nanometer,named individual,,,,"""A length unit which is equal to one thousandth of one millionth of a meter or 10^[-9] m."" [NIST:NIST]",nanometre|nm,,,,,,,,,,,,,,,,,,,
UO:0000018,nanometer,class,length unit,,('meter based unit' and ('has prefix' some nano))|{nanometer},"""A length unit which is equal to one thousandth of one millionth of a meter or 10^[-9] m."" [NIST:NIST]",nanometre|nm,,,,,,,,,,,,,,,,,,,
UO:0000019,angstrom,named individual,,,,"""A length unit which is equal to 10 [-10] m."" [NIST:NIST]",Å,,,,,,,,,,,,,,,,,,,
UO:0000019,angstrom,class,angstrom based unit|length unit,,{angstrom},"""A length unit which is equal to 10 [-10] m."" [NIST:NIST]",Å,,,,,,,,,,,,,,,,,,,
UO:0000020,picometer,named individual,,,,"""A length unit which is equal to 10^[-12] m."" [NIST:NIST]",picometre|pm,,,,,,,,,,,,,,,,,,,
UO:0000020,picometer,class,length unit,,('meter based unit' and ('has prefix' some pico))|{picometer},"""A length unit which is equal to 10^[-12] m."" [NIST:NIST]",picometre|pm,,,,,,,,,,,,,,,,,,,
UO:0000021,gram,named individual,,,,"""A mass unit which is equal to one thousandth of a kilogram or 10^[-3] kg."" [NIST:NIST]",g,,,,,,,,,,,,,,,,,,,
UO:0000021,gram,class,gram based unit|mass unit,,{gram},"""A mass unit which is equal to one thousandth of a kilogram or 10^[-3] kg."" [NIST:NIST]",g,,,,,,,,,,,,,,,,,,,
UO:0000022,milligram,named individual,,,,"""A mass unit which is equal to one thousandth of a gram or 10^[-3] g."" [UOC:GVG]",mg,,,,,,,,,,,,,,,,,,,
UO:0000022,milligram,class,mass unit,,('gram based unit' and ('has prefix' some milli))|{milligram},"""A mass unit which is equal to one thousandth of a gram or 10^[-3] g."" [UOC:GVG]",mg,,,,,,,,,,,,,,,,,,,
UO:0000023,microgram,named individual,,,,"""A mass unit which is equal to one millionth of a gram or 10^[-6] g."" [UOC:GVG]",ug,,,,,,,,,,,,,,,,,,,
UO:0000023,microgram,class,mass unit,,('gram based unit' and ('has prefix' some micro))|{microgram},"""A mass unit which is equal to one millionth of a gram or 10^[-6] g."" [UOC:GVG]",ug,,,,,,,,,,,,,,,,,,,
UO:0000024,nanogram,named individual,,,,"""A mass unit which is equal to one thousandth of one millionth of a gram or 10^[-9] g."" [UOC:GVG]",ng,,,,,,,,,,,,,,,,,,,
UO:0000024,nanogram,class,mass unit,,('gram based unit' and ('has prefix' some nano))|{nanogram},"""A mass unit which is equal to one thousandth of one millionth of a gram or 10^[-9] g."" [UOC:GVG]",ng,,,,,,,,,,,,,,,,,,,
UO:0000025,picogram,named individual,,,,"""A mass unit which is equal to 10^[-12] g."" [UOC:GVG]",pg,,,,,,,,,,,,,,,,,,,
UO:0000025,picogram,class,mass unit,,('gram based unit' and ('has prefix' some pico))|{picogram},"""A mass unit which is equal to 10^[-12] g."" [UOC:GVG]",pg,,,,,,,,,,,,,,,,,,,
UO:0000026,femtogram,named individual,,,,"""A mass unit which is equal to 10^[-15] g."" [NIST:NIST]",fg,,,,,,,,,,,,,,,,,,,
