ID,LABEL,SubClass Of,Equivalent Class,database_cross_reference
ENVO:01001291,pasture fire,grass fire,'grass fire' and ('occurs in' some (pasture or 'pasturable land')),
ENVO:01001292,land fire,'occurs in' some 'planetary landmass'|'occurs in' some 'terrestrial biome'|wildfire,,
ENVO:01001293,bush area,vegetated area,'vegetated area' and (overlaps some ('forested area' or 'scrubland area' or 'area of scrub' or 'area of developed open space' or 'area of sedge- and forb-dominated herbaceous vegetation' or 'area of gramanoid or herbaceous vegetation')),
ENVO:01001294,convective storm,atmospheric storm,,
ENVO:01001295,extra-tropical cyclone,warm core cyclone,,
ENVO:01001296,tropical storm,atmospheric storm,,
ENVO:01001297,cyclone,'causally downstream of or within' some 'cyclonic circulation'|'has participant' some ('area of low atmospheric pressure' and ('has quality' some centered))|atmospheric storm,,
ENVO:01001298,warm core cyclone,cyclone,,
ENVO:01001299,atmospheric zone,environmental zone,'environmental zone' and ('part of' some atmosphere),
ENVO:01001300,area of low atmospheric pressure,atmospheric zone|contains some ('gaseous environmental material' and ('has quality' some 'decreased pressure'))|overlaps some ('gaseous environmental material' and ('has quality' some 'decreased pressure')),,
ENVO:01001301,aquatic estuarine layer,'composed primarily of' some 'estuarine water'|'part of' some estuary|aquatic layer,'aquatic layer' and ('part of' some estuary),
ENVO:01001302,estuarine coastal surface layer,'adjacent to' some shoreline|'composed primarily of' some 'estuarine water'|'part of' some estuary|liquid air-water interface layer,,https://cmecscatalog.org/cmecs/classification/unit/595.html
ENVO:01001303,environmental role,role,,
ENVO:01001304,oasis,vegetated area,'vegetated area' and (partially_surrounded_by some ((rock or soil or sand) and ('has quality' some arid))) and (overlaps some spring),https://en.wikipedia.org/wiki/Oasis
ENVO:01001305,vegetated area,terrestrial environmental zone,,
ENVO:01001306,bone element environment,anatomical entity environment,'anatomical entity environment' and ('determined by' some 'bone element'),
ENVO:01001308,hydroform,'contains process' some 'water flow process','liquid astronomical body part' and ('part of' some 'water body') and ('composed primarily of' some 'liquid water'),
ENVO:01001309,liquid air-water interface layer,liquid surface layer,'liquid surface layer' and ('adjacent to' some air),
ENVO:01001310,liquid surface layer,fluid surface layer,'fluid surface layer' and ('composed primarily of' some 'liquid environmental material'),
ENVO:01001311,solid surface layer,surface layer,'surface layer' and ('composed primarily of' some 'solid environmental material'),
ENVO:01001312,estuarine coastal upper water column,'adjacent to' some 'estuarine coastal pycnocline'|'adjacent to' some shoreline|'composed primarily of' some 'estuarine water'|'has part' some 'estuarine coastal surface layer'|'part of' some estuary|liquid air-water interface layer,,https://cmecscatalog.org/cmecs/classification/unit/596.html
ENVO:01001313,estuarine coastal pycnocline,'adjacent to' some 'estuarine coastal lower water column'|'adjacent to' some 'estuarine coastal upper water column'|'adjacent to' some shoreline|'composed primarily of' some 'estuarine water'|'part of' some estuary|pycnocline,,https://cmecscatalog.org/cmecs/classification/unit/597.html
ENVO:01001314,estuarine coastal lower water column,'adjacent to' some 'estuarine coastal pycnocline'|'adjacent to' some shoreline|'composed primarily of' some 'estuarine water'|'part of' some estuary|aquatic estuarine layer,,https://cmecscatalog.org/cmecs/classification/unit/598.html
ENVO:01001315,estuarine open water surface layer,'composed primarily of' some 'estuarine water'|'part of' some estuary|liquid air-water interface layer,,https://cmecscatalog.org/cmecs/classification/unit/599.html
ENVO:01001316,estuarine open water upper water column,'adjacent to' some 'estuarine open water pycnocline'|'composed primarily of' some 'estuarine water'|'has part' some 'estuarine open water surface layer'|'part of' some estuary|liquid air-water interface layer,,https://cmecscatalog.org/cmecs/classification/unit/600.html
ENVO:01001317,estuarine tidal riverine coastal surface layer,'adjacent to' some shoreline|'composed primarily of' some 'fresh water'|'part of' some estuary|estuarine coastal surface layer,,https://cmecscatalog.org/cmecs/classification/unit/603.html
ENVO:01001318,estuarine tidal riverine coastal upper water column,'adjacent to' some 'estuarine coastal pycnocline'|'adjacent to' some shoreline|'composed primarily of' some 'fresh water'|'has part' some 'estuarine tidal riverine coastal surface layer'|'part of' some estuary|estuarine coastal upper water column,,https://cmecscatalog.org/cmecs/classification/unit/604.html
ENVO:01001319,saline water body,water body,'water body' and ('composed primarily of' some 'saline water'),
ENVO:01001320,fresh water body,water body,'water body' and ('composed primarily of' some 'fresh water'),
ENVO:01001321,brackish water body,water body,'water body' and ('composed primarily of' some 'brackish water'),
ENVO:01001322,estuarine open water lower water column,'adjacent to' some 'estuarine open water pycnocline'|'composed primarily of' some 'estuarine water'|'part of' some estuary|aquatic estuarine layer,,https://cmecscatalog.org/cmecs/classification/unit/602.html
